HTR4	Q13639
ZKSCAN2	Q63HK3
ZKSCAN5	Q9Y2L8
ZKSCAN4	Q969J2
ZKSCAN1	P17029
NOP14	P78316
NOP16	Q9Y3C1
RFXANK	O14593
G6PC2	Q9NQR9
LRCH2	Q5VUJ6
G6PC3	Q9BUM1
SON	P18583
LRCH1	Q9Y2L9
SP2	Q02086
SP1	P08047
SP4	Q02446
SP3	Q02447
SP6	Q3SY56
SP5	Q6BEB4
SP8	Q8IXZ3
SP7	Q8TDD2
LRCH4	O75427
LRCH3	Q96II8
NOP10	Q9NPE3
BMP10	O95393
MTCL1	Q9Y4B5
DYSF	O75923
MSLN	Q13421
BICD1	Q96G01
BICD2	Q8TD16
BMP15	O95972
SPN	P16150
UNC80	Q8N2C7
SPR	P35270
PRADC1	Q9BSG0
SPDYE2	Q495Y8
SPX	Q9BT56
MSMB	P08118
MSL2	Q9HCI7
MSL3	Q8N5Y2
MSL1	Q68DK7
ADAMTS20	P59510
BMP2K	Q9NSY1
GAPDH	P04406
SRC	P12931
SRF	P11831
SRI	P30626
SRL	Q86TD4
SRM	P19623
SRR	Q9GZT4
BSND	Q8WZ55
KRIT1	O00522
SRY	Q05066
NOP56	O00567
NOP58	Q9Y2X3
SSB	P05455
SPDYE4	A6NLX3
SPDYE6	P0CI01
BICC1	Q9H694
NECAP2	Q9NVZ3
NECAP1	Q8NC96
UROC1	Q96N76
SST	P61278
ST5	P78524
ST7	Q9NRC1
PDCD4	Q53EL6
PDCD2	Q16342
PDCD1	Q15116
NOP53	Q9NZM5
UNC79	Q9P2D8
STH	Q8IWL8
MT1L	Q93083
MT1M	Q8N339
MT1X	P80297
RCBTB1	Q8NDN9
RCBTB2	O95199
MT2A	P02795
STS	P08842
TNFSF10	P50591
TNFSF11	O14788
CYP39A1	Q9NYL5
SNORC	Q6UX34
MT1A	P04731
MT1F	P04733
MTCP1	P56278
MT1G	P13640
MT1H	P80294
MT1B	P07438
MT1E	P04732
MYCBP2	O75592
TGFA	P01135
STK38L	Q9Y2H1
APOBEC3C	Q9NRW3
TNFSF18	Q9UNG2
MSR1	P21757
APOBEC3D	Q96AK3
APOBEC3F	Q8IUX4
APOBEC3G	Q9HC16
TNFSF14	O43557
DDIAS	Q8IXT1
APOBEC3H	Q6NTF7
TNFSF15	O95150
TGDS	O95455
TNFSF12	O43508
TNFSF13	O75888
IGF2	P01344
IGF1	P05019
BST2	Q10589
MSRA	Q9UJ68
BST1	Q10588
ITGBL1	O95965
APOBEC3A	P31941
LDHAL6A	Q6ZMR3
APOBEC3B	Q9UH17
LDHAL6B	Q9BYZ2
IGHM	P01871
MSTN	O14793
DMBX1	Q8NFW5
RAC2	P15153
RAC3	P60763
RAC1	P63000
SYK	P43405
MST1	P26927
GAB1	Q13480
GAB3	Q8WWW8
GAB2	Q9UQC2
SYP	P08247
CNKSR2	Q8WXI2
RAP2C	Q9Y3L5
CNKSR1	Q969H4
RAP2A	P10114
RAP2B	P61225
CNKSR3	Q6P9H4
IGHD	P01880
IGHE	P01854
MICU3	Q86XE3
TLCD2	A6NGC4
MICU2	Q8IYU8
TLCD1	Q96CP7
MICU1	Q9BPX6
SH3BGRL	O75368
ZFP14	Q9HCL3
IGKC	P01834
MSX1	P28360
RAE1	P78406
GAD1	Q99259
IGIP	A6NJ69
GAD2	Q5VZ30
VMP1	Q96GC9
PDCL3	Q9H2J4
PDCL2	Q8N4E4
CACHD1	Q5VU97
TACC3	Q9Y6A5
TACC1	O75410
RAD1	O60671
TACC2	O95359
ZFP28	Q8NHY6
OR1C1	Q15619
DENND5B	Q6ZUT9
TACO1	Q9BSH4
TGM1	P22735
DMBT1	Q9UGM3
TGM7	Q96PF1
DENND5A	Q6IQ26
TGM6	O95932
RAG2	P55895
TGM5	O43548
TGM4	P49221
TGM3	Q08188
TGM2	P21980
RAG1	P15918
OR1B1	Q8NGR6
MSX2	P35548
RADX	Q6NSI4
CARTPT	Q16568
PSPC1	Q8WXF1
DENND6B	Q8NEG7
BBOF1	Q8ND07
DENND6A	Q8IWF6
RAF1	P04049
OR1A2	Q9Y585
OR1A1	Q9P1Q5
RAI1	Q7Z5J4
IL36RN	Q9UBH0
RAI2	Q9Y5P3
DENND4B	O75064
DENND4A	Q7Z401
DENND4C	Q5VZ89
TAT	P17735
OR1G1	P47890
TAZ	Q16635
TBP	P20226
OR1F1	O43749
RALA	P11233
GALT	P07902
RALB	P11234
OR1E3	Q8WZA6
OR1E2	P47887
OR1E1	P30953
IGLV3-1	P01715
TROVE2	P10155
MTA1	Q13330
IGKV1-39	P01597
OXCT1	P55809
TGS1	Q96RS0
TDG	Q13569
MVB12B	Q9H7P6
SLIT1	O75093
MVB12A	Q96EY5
TDH	Q8IZJ6
DROSHA	Q9NRR4
RALY	Q9UKM9
OXCT2	Q9BYC2
SLIT3	O75094
IGKV1-33	P01594
SLIT2	O94813
MTA2	O94776
MTA3	Q9BTC8
OR1D5	P58170
HSD3B7	Q9H2F3
OR1D4	P47884
OR1D2	P34982
HSD3B2	P26439
HSD3B1	P14060
GALC	P54803
GALE	Q14376
TEC	P42680
TEF	Q10587
TNIP1	Q15025
TNIP2	Q8NFZ5
TNIP3	Q96KP6
GALM	Q96C23
SLIRP	Q9GZT3
TEK	Q02763
GALP	Q9UBC7
IPO13	O94829
IPO11	Q9UI26
TES	Q9UGI8
CAPN15	O75808
MTBP	Q96DY7
IGKV1-16	P04430
TFG	Q92734
IGKV1-17	P01599
IGKV1-12	A0A0C4DH73
HOMER3	Q9NSC5
GAMT	Q14353
MBNL1	Q9NR56
MBNL2	Q5VZF2
TAAR8	Q969N4
DNAAF3	Q8N9W5
DNAAF2	Q9NVR5
TAAR9	Q96RI9
TAAR6	Q96RI8
DNAAF1	Q8NEP3
TAAR5	O14804
DNAAF5	Q86Y56
TAAR2	Q9P1P5
DNAAF4	Q8WXU2
TAAR1	Q96RJ0
GANC	Q8TET4
MTAP	Q13126
MTDH	Q86UE4
GAR1	Q9NY12
FAM120AOS	Q5T036
BTF3	P20290
HOMER1	Q86YM7
HOMER2	Q9NSB8
SETD4	Q9NVD3
CDKN1C	P49918
DENND1C	Q8IV53
BTG4	Q9NY30
SETD5	Q9C0A6
DENND1B	Q6P3S1
BTG3	Q14201
CDKN1A	P38936
BTG2	P78543
SETD2	Q9BYW2
RARG	P13631
CDKN1B	P46527
BTG1	P62324
SETD3	Q86TU7
SETD9	Q8NE22
SETD6	Q8TBK2
DENND1A	Q8TEH3
SETD7	Q8WTS6
ADAMTSL1	Q8N6G6
ADAMTSL5	Q6ZMM2
MTG1	Q9BT17
ADAMTSL4	Q6UY14
MTG2	Q9H4K7
ADAMTSL3	P82987
RARS	P54136
ADAMTSL2	Q86TH1
GAST	P01350
TK2	O00142
TK1	P04183
DENND2D	Q9H6A0
DENND2C	Q68D51
KRTAP15-1	Q3LI76
DENND2A	Q9ULE3
LRRC75A-AS1	Q8N1F1
COPZ2	Q9P299
COPZ1	P61923
MTF1	Q14872
MTF2	Q9Y483
RARA	P10276
GAS2	O43903
GAS1	P54826
RARB	P10826
GARS	P41250
SINHCAF	Q9NP50
TKT	P29401
GAS6	Q14393
GART	P22102
GAS8	O95995
GAS7	O60861
CEP295NL	Q96MC4
OLFML3	Q9NRN5
ARRDC1-AS1	Q9H2J1
MBNL3	Q9NUK0
CDKN2D	P55273
CDKN2B	P42772
CDKN2C	P42773
CDKN2A	Q8N726
IL10RB	Q08334
IL10RA	Q13651
GATC	O43716
GATB	O75879
SNCAIP	Q9Y6H5
GATM	P50440
OSTM1	Q86WC4
COQ8B	Q96D53
COQ8A	Q8NI60
TNC	P24821
TNF	P01375
TNN	Q9UQP3
TNR	Q92752
LARP4B	Q92615
TOX	O94900
INSIG2	Q9Y5U4
INSIG1	O15503
KNG1	P01042
MTM1	Q13496
TPO	P07202
ESPNL	Q6ZVH7
CDIPTOSP	P0DO92
TPR	P12270
BTLA	Q7Z6A9
SYNJ2	O15056
RAX2	Q96IS3
COPS4	Q9BT78
COPRS	Q9NQ92
COPS3	Q9UNS2
COPS6	Q7L5N1
COPS5	Q92905
SYNJ1	O43426
COPS2	P61201
COPS8	Q99627
COPS9	Q8WXC6
BMPR2	Q13873
TRH	P20396
SYNE4	Q8N205
SYNE3	Q6ZMZ3
MTO1	Q9Y2Z2
SYNE2	Q8WXH0
SYNE1	Q8NF91
TRO	Q12816
THBD	P07204
SERAC1	Q96JX3
SECISBP2L	Q93073
AVPR2	P30518
LANCL1	O43813
TSN	Q15631
TST	Q16762
ESPL1	Q14674
LANCL2	Q9NS86
MTPN	P58546
TTK	P33981
TTL	Q8NG68
TTN	Q8WZ42
TTR	P02766
ALOXE3	Q9BYJ1
TUB	P50607
MTOR	P42345
GLOD4	Q9HC38
GLOD5	A6NK44
TCERG1	O14776
C12orf57	Q99622
MTRR	Q9UBK8
WDSUB1	Q8N9V3
ZMYND8	Q9ULU4
PITPNB	P48739
PITPNA	Q00169
GBA3	Q9H227
MKI67	P46013
GBA2	Q9HCG7
KIAA0930	Q6ICG6
SYNPR	Q8TBG9
C12orf60	Q5U649
SYNPO	Q8N3V7
BTRC	Q9Y297
C12orf66	Q96MD2
C12orf65	Q9H3J6
C12orf45	Q8N5I9
C12orf49	Q9H741
KNL1	Q8NG31
THEG	Q9P2T0
IGKV2D-28	P01615
C12orf50	Q8NA57
UHRF1BP1	Q6BDS2
IGKV2D-30	A0A075B6S6
TXK	P42681
MTTP	P55157
ST20-AS1	Q8NBB2
TXN	P10599
IGKV2D-40	P01614
SYNRG	Q9UMZ2
TYR	P14679
VNN1	O95497
ZZZ3	Q8IYH5
VNN2	O95498
VNN3	Q9NY84
C12orf73	Q69YU5
RBAK	Q9NYW8
C12orf76	Q8N812
C12orf75	Q8TAD7
C12orf74	Q32Q52
TENM1	Q9UKZ4
TENM2	Q9NT68
TENM3	Q9P273
TENM4	Q6N022
GBE1	Q04446
SEC61G	P60059
SEC61B	P60468
SCNM1	Q9BWG6
C12orf10	Q9HB07
AVPI1	Q5T686
RBFA	Q8N0V3
C12orf40	Q86WS4
C12orf43	Q96C57
MTX1	Q13505
C12orf29	Q8N999
MTX2	O75431
MTX3	Q5HYI7
GBF1	Q92538
NR6A1	Q15406
COPG2	Q9UBF2
COPG1	Q9Y678
FRA10AC1	Q70Z53
CCL4L1	Q8NHW4
CCL4L2	Q8NHW4
GOLGA6L9	A6NEM1
BMPER	Q8N8U9
HIST1H2AE	P04908
HIST1H2AD	P20671
HIST1H2AG	P0C0S8
HIST1H2AA	Q96QV6
HIST1H2AC	Q93077
HIST1H2AB	P04908
HIST1H2AM	P0C0S8
HIST1H2AL	P0C0S8
HIST1H2AI	P0C0S8
IL11RA	Q14626
HIST1H2AH	Q96KK5
HIST1H2AK	P0C0S8
HIST1H2AJ	Q99878
GOLGA6L2	Q8N9W4
STIMATE	Q86TL2
CDPF1	Q6NVV7
RSBN1	Q5VWQ0
HIST1H2BF	P62807
HIST1H2BE	P62807
HIST1H2BH	Q93079
HIST1H2BG	P62807
HIST1H2BB	P33778
HIST1H2BA	Q96A08
HIST1H2BD	P58876
HIST1H2BC	P62807
ZCCHC8	Q6NZY4
COPB2	P35606
ZCCHC7	Q8N3Z6
COPB1	P53618
ALOX15	P16050
ZCCHC9	Q8N567
ALOX12	P18054
ZMAT1	Q5H9K5
UBB	P0CG47
ZMAT2	Q96NC0
THPO	P40225
ZMAT3	Q9HA38
ZMAT4	Q9H898
UBD	O15205
UBC	P0CG48
ZMAT5	Q9UDW3
MPIG6B	O95866
ZCCHC4	Q9H5U6
ZCCHC3	Q9NUD5
ZCCHC2	Q9C0B9
GLP1R	P43220
UCN	P55089
THRB	P10828
THRA	P10827
RBM3	P98179
RBM4	Q9BWF3
RBM7	Q9Y580
RBM5	P52756
RBM6	P78332
GLP2R	O95838
RBL2	Q08999
GAP43	P17677
RBL1	P28749
RBKS	Q9H477
HIST1H2BN	Q99877
HIST1H2BM	Q99879
HIST1H2BO	P23527
HIST1H2BJ	P06899
HIST1H2BI	P62807
TSGA10IP	Q3SY00
HIST1H2BL	Q99880
HIST1H2BK	O60814
BICRA	Q9NZM4
MUC1	P15941
MUC2	Q02817
POC1A	Q8NBT0
MUC7	Q8TAX7
POC1B	Q8TC44
FAM90A16P	A6NEW6
BUB3	O43684
TENT2	Q6PIY7
GBP2	P32456
BUB1	O43683
MUC4	Q99102
GBP1	P32455
GBP4	Q96PP9
GBP3	Q9H0R5
MUC6	Q6W4X9
CAPN13	Q6MZZ7
CAPN14	A8MX76
CAPN11	Q9UMQ6
CAPN12	Q6ZSI9
CAPN10	Q9HC96
FSIP1	Q8NA03
RBMX	P38159
FSIP2	Q5CZC0
OR2M7	Q8NG81
OR2M5	A3KFT3
OR2M4	Q96R27
OR2M3	Q8NG83
OR2M2	Q96R28
RBPJ	Q06330
MEIKIN	A0A087WXM9
ZFYVE28	Q9HCC9
ZFYVE26	Q68DK2
ZFYVE27	Q5T4F4
UBASH3B	Q8TF42
UBASH3A	P57075
GBP6	Q6ZN66
GBP5	Q96PP8
GBP7	Q8N8V2
OR2L8	Q8NGY9
OR2L5	Q8NG80
ZFYVE21	Q9BQ24
OR2L3	Q8NG85
OR2L2	Q8NH16
RBP7	Q96R05
RBP4	P02753
ZFYVE16	Q7Z3T8
RBP5	P82980
RBP2	P50120
RBP3	P10745
ZFYVE19	Q96K21
RBP1	P09455
CEP85L	Q5SZL2
OR2K2	Q8NGT1
THY1	P04216
WBP2NL	Q6ICG8
LINC00311	Q8N616
LINC00312	Q9Y6C7
LINC00313	P59037
EDEM3	Q9BZQ6
EDEM1	Q92611
EDEM2	Q9BV94
OR2J3	O76001
OR2J2	O76002
OR2J1	Q9GZK6
PTRHD1	Q6GMV3
COL1A1	P02452
COL1A2	P08123
LINC00303	Q3SY05
LINC00305	Q7Z4B0
HIST2H2AA3	Q6FI13
HIST2H2AA4	Q6FI13
LLCFC1	Q96L11
TUBA1C	Q9BQE3
TUBA1B	P68363
TUBA1A	Q71U36
RBMY1F	Q15415
RBMY1E	A6NEQ0
RBMY1J	Q15415
RBSN	Q9H1K0
RILPL2	Q969X0
RILPL1	Q5EBL4
ADSSL1	Q8N142
DSCAML1	Q8TD84
MIEF2	Q96C03
MIEF1	Q9NQG6
UNG	P13051
GLRA1	P23415
TUBA3E	Q6PEY2
TUBA3D	P0DPH8
GLRA2	P23416
TUBA3C	P0DPH7
GLRA3	O75311
UNK	Q9C0B0
GLRA4	Q5JXX5
ASPRV1	Q53RT3
SERBP1	Q8NC51
ETFBKMT	Q8IXQ9
SMCHD1	A6NHR9
PPP1R16B	Q96T49
AREL1	O15033
PPP1R16A	Q96I34
MUL1	Q969V5
OR2T8	A6NH00
TUBA4B	Q9H853
OR2T7	P0C7T2
TUBA4A	P68366
OR2T6	Q8NHC8
RBX1	P62877
OR2T5	Q6IEZ7
OR2T4	Q8NH00
RBMXL3	Q8N7X1
OR2T3	Q8NH03
RBMXL2	O75526
OR2T2	Q6IF00
RBMXL1	Q96E39
OR2T1	O43869
TUBGCP2	Q9BSJ2
OR2S2	Q9NQN1
TIA1	P31483
BICRAL	Q6AI39
UST	Q9Y2C2
TUBGCP5	Q96RT8
FGFR1OP	O95684
TUBGCP6	Q96RT7
TUBGCP3	Q96CW5
TUBGCP4	Q9UGJ1
MOXD1	Q6UVY6
PPP1R13B	Q96KQ4
PPP1R13L	Q8WUF5
OR2Y1	Q8NGV0
UTY	O14607
PPP1R12A	O14974
PPP1R12B	O60237
PPP1R12C	Q9BZL4
PPP1R15A	O75807
PPP1R15B	Q5SWA1
KATNB1	Q9BVA0
FURIN	P09958
OR2W5	A6NFC9
MIEN1	Q9BRT3
OR2W3	Q7Z3T1
KATNA1	O75449
OR2W1	Q9Y3N9
TIFA	Q96CG3
PPP1R14A	Q96A00
PPP1R14B	Q96C90
PPP1R14C	Q8TAE6
TIE1	P35590
AKR7L	Q8NHP1
OR2V2	Q96R30
OR2V1	Q8NHB1
CDR2L	Q86X02
PPP1R14D	Q9NXH3
GCC2	Q8IWJ2
GCC1	Q96CN9
UXT	Q9UBK9
TCL1B	O95988
TCL1A	P56279
POF1B	Q8WVV4
DHX57	Q6P158
DHX58	Q96C10
RCC1	P18754
OXER1	Q8TDS5
MUSK	O15146
GCAT	O75600
DHX40	Q8IX18
MXRA8	Q9BRK3
MXRA7	P84157
PEX11G	Q96HA9
MXRA5	Q9NR99
MMADHC	Q9H3L0
GCDH	Q92947
ZBED9	Q6R2W3
ZBED8	Q8IZ13
PAXIP1	Q6ZW49
PEX11A	O75192
PEX11B	O96011
PTTG1IP	P53801
DHX30	Q7L2E3
DHX32	Q7L7V1
DHX33	Q9H6R0
DHX34	Q14147
MIER3	Q7Z3K6
DHX35	Q9H5Z1
MIER2	Q8N344
MIER1	Q8N108
DHX36	Q9H2U1
DHX37	Q8IY37
ZBED2	Q9BTP6
ZBED1	O96006
DHX38	Q92620
RCE1	Q9Y256
ZBED6	P86452
ZBED5	Q49AG3
ZBED4	O75132
ZBED3	Q96IU2
RCC2	Q9P258
OR2Z1	Q8NG97
DHX29	Q7Z478
DHX15	O43143
DHX16	O60231
STARD3NL	O95772
OR3A3	P47888
OR3A2	P47893
OR3A1	P47881
GCH1	P30793
GCGR	P47871
MAD2L2	Q9UI95
MAD2L1	Q13257
PHRF1	Q9P1Y6
TPRA1	Q86W33
RPP25L	Q8N5L8
TERB2	Q8NHR7
ERICH6B	Q5W0A0
VCL	P18206
GCM2	O75603
GCM1	Q9NP62
VCP	P55072
NDRG4	Q9ULP0
NDRG3	Q9UGV2
NDRG2	Q9UN36
NDRG1	Q92597
VCY	O14598
TAF5L	O75529
GCN1	Q92616
GCKR	Q14397
VDR	P11473
NFXL1	Q6ZNB6
GULP1	Q9UBP9
RCL1	Q9Y2P8
GCLC	P48506
PQLC1	Q8N2U9
PQLC3	Q8N755
PQLC2	Q6ZP29
TAF4B	Q92750
GCLM	P48507
CNRIP1	Q96F85
GATAD1	Q8WUU5
GLRX3	O76003
GLRX5	Q86SX6
GLRX2	Q9NS18
RCN3	Q96D15
RCN1	Q15293
PSRC1	Q6PGN9
RCN2	Q14257
VGF	O15240
MMRN1	Q13201
MMRN2	Q9H8L6
WHAMMP3	Q1A5X7
TUBAL3	A6NHL2
TAF1L	Q8IZX4
TAF1D	Q9H5J8
TAF1B	Q53T94
TNKS2	Q9H2K2
TAF1C	Q15572
TAF1A	Q15573
VHL	P40337
TAF15	Q92804
TAF12	Q16514
TAF13	Q15543
TAF10	Q12962
TAF11	Q15544
VIM	P08670
VIP	P01282
RPL26L1	Q9UNX3
VIT	Q6UXI7
RAPH1	Q70E73
OR1K1	Q8NGR3
RD3L	P0DJH9
GCSH	P23434
BVES	Q8NE79
KRTAP17-1	Q9BYP8
OR1J4	Q8NGS1
OR1J2	Q8NGS2
OR1J1	Q8NGS3
OR1I1	O60431
SLAIN2	Q9P270
SLAIN1	Q8ND83
A1BG	P04217
GSDMD	P57764
GSDMC	Q9BYG8
GSDMB	Q8TAX9
GSDMA	Q96QA5
TMEM190	Q8WZ59
TMEM192	Q8IY95
A1CF	Q9NQ94
TMEM196	Q5HYL7
TMEM199	Q8N511
CHRFAM7A	Q494W8
GSDME	O60443
TMEM181	Q9P2C4
TMEM182	Q6ZP80
TMEM186	Q96B77
TMEM187	Q14656
TMEM189	A5PLL7
TMSB4X	P62328
TMSB4Y	O14604
LDLRAP1	Q5SW96
GPRASP1	Q5JY77
GPRASP2	Q96D09
TACR2	P21452
TACR3	P29371
TMEM171	Q8WVE6
TACR1	P25103
TMEM173	Q86WV6
OR1N2	Q8NGR9
TMEM174	Q8WUU8
OR1N1	Q8NGS0
TMEM175	Q9BSA9
TMEM177	Q53S58
HOXD13	P35453
TMEM160	Q9NX00
HOXD12	P35452
HOXD11	P31277
OR1M1	Q8NGA1
HOXD10	P28358
TMEM164	Q5U3C3
TMEM165	Q9HC07
TMEM168	Q9H0V1
TMEM169	Q96HH4
OR1L8	Q8NGR8
OR1L6	Q8NGR2
OR1L4	Q8NGR5
OR1L3	Q8NH93
OR1L1	Q8NH94
TMEM154	Q6P9G4
TMEM155	Q4W5P6
TMEM159	Q96B96
ZFP36	P26651
OR1S2	Q8NGQ3
OR1S1	Q8NH92
ZFP30	Q9Y2G7
TMSB10	P63313
ZFP37	Q9Y6Q3
SYPL2	Q5VXT5
ZFP41	Q8N8Y5
SYPL1	Q16563
ZFP42	Q96MM3
PHPT1	Q9NRX4
MAD1L1	Q9Y6D9
CALCRL	Q16602
ILDR1	Q86SU0
ILDR2	Q71H61
VTN	P04004
OR1Q1	Q15612
HMBOX1	Q6NT76
ZFP57	Q9NU63
ESRRA	P11474
ZG16B	Q96DA0
ESRRB	O95718
ESRRG	P62508
TRMT9B	Q9P272
OR1P1	Q8NH06
ZFP69	Q49AA0
ZFP62	Q8NB50
ZFP64	Q9NTW7
TADA3	O75528
TADA1	Q96BN2
LINC00269	Q8N2A0
ZFP82	Q8N141
HIF1AN	Q9NWT6
VWF	P04275
ZFP91	Q96JP5
ZFP90	Q8TF47
ESRP2	Q9H6T0
ESRP1	Q6NXG1
SNRPA1	P09661
PKHD1L1	Q86WI1
LINC00242	Q5T6M2
VXN	Q8TAG6
SNRPB2	P08579
CDRT4	Q8N9R6
RCVRN	P35243
TXNRD3	Q86VQ6
TXNRD2	Q9NNW7
TXNRD1	Q16881
CBLN4	Q9NTU7
CBLN3	Q6UW01
MMACHC	Q9Y4U1
CBLN2	Q8IUK8
CBLN1	P23435
ERVK13-1	Q9NX77
VIPR1	P32241
VIPR2	P41587
GDE1	Q9NZC3
RAPGEFL1	Q9UHV5
TRMT44	Q8IYL2
ZFPL1	O95159
AGFG2	O95081
AGFG1	P52594
CARHSP1	Q9Y2V2
PDE12	Q6L8Q7
ZFPM2	Q8WW38
CBLL2	Q8N7E2
ZFPM1	Q8IX07
CBLL1	Q75N03
NECAB2	Q7Z6G3
KPRP	Q5T749
NECAB1	Q8N987
NECAB3	Q96P71
PDE1C	Q14123
PDE1B	Q01064
PDE1A	P54750
TRMT2A	Q8IZ69
TRMT2B	Q96GJ1
VPS8	Q8N3P4
TRMT1L	Q7Z2T5
PDE2A	O00408
GDF2	Q9UK05
DDIT4L	Q96D03
GDF1	P27539
IFNLR1	Q8IU57
GDF3	Q9NR23
GDF6	Q6KF10
HSPBAP1	Q96EW2
GDF5	P43026
GDF7	Q7Z4P5
GDF9	O60383
PDE3A	Q14432
CORO6	Q6QEF8
TRMT12	Q53H54
TRMT13	Q9NUP7
CORO7	P57737
TRMT11	Q7Z4G4
INKA2	Q9NTI7
INKA1	Q96EL1
OR2A1	Q8NGT9
GDI1	P31150
RDH8	Q9NYR8
SH3KBP1	Q96B97
GDI2	P50395
ZBTB8OS	Q8IWT0
URB1-AS1	Q96HZ7
ATP6V0B	Q99437
LINC00173	Q6ZV60
BBS10	Q8TAM1
BBS12	Q6ZW61
WAC	Q9BTA9
RDH5	Q92781
KPTN	Q9Y664
ATP6V0C	P27449
RAPSN	Q13702
LILRA6	Q6PI73
WAS	P42768
LILRA1	O75019
LILRA2	Q8N149
LILRA3	Q8N6C8
LILRA4	P59901
LILRA5	A6NI73
TLDC2	A0PJX2
CORIN	Q9Y5Q5
LILRB1	Q8NHL6
LILRB2	Q8N423
LILRB3	O75022
LILRB4	Q8NHJ6
LILRB5	O75023
TJP1	Q07157
TPPP3	Q9BW30
TJP3	O95049
TJP2	Q9UDY2
AMY2A	Q6NSB3
AMY2B	Q6NSB3
TMEM140	Q9NV12
TMEM141	Q96I45
TMEM143	Q96AN5
TMEM144	Q7Z5S9
RDM1	Q8NG50
TMEM147	Q9BVK8
PDE8B	O95263
TMEM14A	Q9Y6G1
PDE8A	O60658
TMEM14B	Q9NUH8
TMEM14C	Q9P0S9
OR2D3	Q8NGH3
OR2D2	Q9H210
AMY1A	Q6NSB3
AMY1B	Q6NSB3
AMY1C	Q6NSB3
TMEM130	Q8N3G9
TMEM131	Q92545
TMEM134	Q9H6X4
TMEM135	Q86UB9
LMX1A	Q8TE12
TMEM138	Q9NPI0
TMEM139	Q8IV31
LMX1B	O60663
PDE9A	O76083
ATP6V1A	P38606
OR2C3	Q8N628
OR2C1	O95371
SEL1L2	Q5TEA6
SEL1L3	Q68CR1
TMEM121	Q9BTD3
TMEM123	Q8N131
PODXL	O00592
TMEM127	O75204
TMEM128	Q5BJH2
TMEM129	A0AVI4
ATP6V1H	Q9UI12
SUDS3	Q9H7L9
OR2B6	P58173
ATP6V1D	Q9Y5K8
ATP6V1F	Q16864
OR2B3	O76000
OR2B2	Q9GZK3
TMEM114	B3SHH9
TMEM115	Q12893
GDNF	P39905
TMEM119	Q4V9L6
OR2A7	Q96R45
OR2A5	Q96R48
OR2A4	O95047
OR2A2	Q6IF42
PDE3B	Q13370
ELAVL4	P26378
ELAVL1	Q15717
ELAVL2	Q12926
ELAVL3	Q14576
TMEM100	Q9NV29
TMEM101	Q96IK0
UPK1B	O75841
TMEM102	Q8N9M5
UPK1A	O00322
TMEM104	Q8NE00
TMEM107	Q6UX40
PDE4B	Q07343
TMEM108	Q6UXF1
PDE4A	P27815
TMEM109	Q9BVC6
PDE4D	Q08499
OR2H2	O95918
PDE4C	Q08493
OR2H1	Q9GZK4
UPK3B	Q9BT76
UPK3A	O75631
PDE5A	O76074
OR2G6	Q5TZ20
POLDIP2	Q9Y2S7
OR2G3	Q8NGZ4
POLDIP3	Q9BY77
OR2G2	Q8NGZ5
WIZ	O95785
DBF4B	Q8NFT6
SLC22A18AS	Q8N1D0
PDE6D	O43924
PDE6C	P51160
PDE6B	P35913
PDE6A	P16499
PDE6H	Q13956
OR2F2	O95006
PDE6G	P18545
OR2F1	Q13607
ZFC3H1	O60293
PDE7B	Q9NP56
PDE7A	Q13946
TESK1	Q15569
TESK2	Q96S53
OR4Q3	Q8NH05
OR4Q2	P0C623
NDST2	P52849
NDST1	P52848
NDST4	Q9H3R1
NDST3	O95803
C3AR1	Q16581
WLS	Q5T9L3
MCEMP1	Q8IX19
OR4P4	Q8NGL7
PDGFB	P01127
GATA6	Q92908
TPRG1L	Q5T0D9
PDGFA	P04085
GATA5	Q9BWX5
GATA4	P43694
GATA3	P23771
GATA2	P23769
GATA1	P15976
CIAO3	Q9H6Q4
CIAO1	O76071
PDGFD	Q9GZP0
PDGFC	Q9NRA1
OR4N5	Q8IXE1
OR4N4	Q8N0Y3
OR4N2	Q8NGD1
HNRNPA1L2	Q32P51
LIN54	Q6MZP7
HOXC13	P31276
HOXC11	O43248
HOXC10	Q9NYD6
TCP11L1	Q9NUJ3
TCP11L2	Q8N4U5
LIN52	Q52LA3
GATD1	Q8NB37
TPSG1	Q9NRR2
CDC20B	Q86Y33
PHF20L1	A8MW92
TPSD1	Q9BZJ3
SAMD7	Q7Z3H4
SAMD8	Q96LT4
SAMD9	Q5K651
LIN37	Q96GY3
WRB	O00258
OR4S2	Q8NH73
OR4S1	Q8NGB4
WRN	Q14191
SAMD1	Q6SPF0
SAMD3	Q8N6K7
LIMS4	P0CW20
LIMS3	P0CW19
TMEM270	Q6UE05
CROCC2	H7BZ55
FAM200B	NP_001138663
FAM200A	Q8TCP9
WT1	P19544
SLMAP	Q14BN4
TRAV8-4	P01737
EBAG9	O00559
LIMS2	Q7Z4I7
LIMS1	P48059
FAM204A	Q9H8W3
CEP250	Q9BV73
SPAG11B	Q08648
CDC25C	P30307
NCCRP1	Q6ZVX7
CDC25A	P30304
CDC25B	P30305
TPST2	O60704
TPST1	O60507
OR4X2	Q8NGF9
OR4X1	Q8NH49
LPAL2	Q16609
FAM206A	Q9NX38
LIN7A	O14910
LIN7C	Q9NUP9
LIN7B	Q9HAP6
TKFC	Q3LXA3
HHATL	Q9HCP6
